cpu,client,run,core,usr,kernel,softirq,idle
18,100,1,4,0.00,51.00,49.00,0.00
18,100,1,5,0.00,43.00,57.00,0.00
18,100,1,6,0.00,48.00,52.00,0.00
18,100,1,7,0.00,46.00,54.00,0.00
18,100,1,8,0.00,45.54,54.46,0.00
18,100,1,9,0.00,48.51,51.49,0.00
18,100,1,10,0.00,44.00,56.00,0.00
18,100,1,11,0.00,37.37,62.63,0.00
18,100,1,12,0.00,34.00,66.00,0.00
18,100,1,13,0.99,50.50,48.51,0.00
18,100,1,14,0.00,39.00,61.00,0.00
18,100,1,15,0.00,46.46,53.54,0.00
18,100,1,16,0.00,41.00,59.00,0.00
18,100,1,17,0.00,45.00,55.00,0.00
18,100,1,-1,0.00,46.08,53.92,0.00
18,100,1,0,0.00,52.00,48.00,0.00
18,100,1,1,0.00,51.00,49.00,0.00
18,100,1,2,0.00,45.00,55.00,0.00
18,100,1,3,0.00,40.40,59.60,0.00
18,100,1,4,0.00,51.00,49.00,0.00
18,100,1,5,0.00,46.00,54.00,0.00
18,100,1,6,0.00,44.00,56.00,0.00
18,100,1,7,0.00,48.48,51.52,0.00
18,100,1,8,0.00,41.41,58.59,0.00
18,100,1,9,0.00,54.55,45.45,0.00
18,100,1,10,0.00,49.50,50.50,0.00
18,100,1,11,0.00,38.61,61.39,0.00
18,100,1,12,0.00,43.00,57.00,0.00
18,100,1,13,0.00,50.00,50.00,0.00
18,100,1,14,0.00,40.00,60.00,0.00
18,100,1,15,0.00,45.00,55.00,0.00
18,100,1,16,0.00,45.45,54.55,0.00
18,100,1,17,0.00,44.00,56.00,0.00
18,100,1,-1,0.00,44.48,55.52,0.00
18,100,1,0,0.00,49.00,51.00,0.00
18,100,1,1,0.00,44.00,56.00,0.00
18,100,1,2,0.00,37.00,63.00,0.00
18,100,1,3,0.00,41.58,58.42,0.00
18,100,1,4,0.00,50.51,49.49,0.00
18,100,1,5,0.00,39.00,61.00,0.00
18,100,1,6,0.00,45.00,55.00,0.00
18,100,1,7,0.00,47.52,52.48,0.00
18,100,1,8,0.00,42.57,57.43,0.00
18,100,1,9,0.00,54.00,46.00,0.00
18,100,1,10,0.00,48.00,52.00,0.00
18,100,1,11,0.00,34.00,66.00,0.00
18,100,1,12,0.00,40.00,60.00,0.00
18,100,1,13,0.00,52.53,47.47,0.00
18,100,1,14,0.00,39.00,61.00,0.00
18,100,1,15,0.00,49.00,51.00,0.00
18,100,1,16,0.00,43.00,57.00,0.00
18,100,1,17,0.00,45.00,55.00,0.00
18,100,1,-1,0.00,44.25,55.75,0.00
18,100,1,0,0.00,44.00,56.00,0.00
18,100,1,1,0.00,49.00,51.00,0.00
18,100,1,2,0.00,32.67,67.33,0.00
